msa.fips,msa.name,pop,pop.growth,surface.water,dem.share,dem.share.natl,pvi,city,area,pop.dens,pop.dens.growth
21660,"Eugene, OR Metro Area",358506,0.004602704069373192,0.6762075134168157,0.6313226030307987,0.5282701767821113,10.305242624868738,EugeneOR,4553.119293989007,2787.073625661687,0.008549199863969372
21780,"Evansville, IN-KY Metro Area",315137,0.002647746910754748,0.913735741444867,0.45749669717954544,0.5282701767821113,-7.077347960256586,EvansvilleIN,2283.9593500047104,1660.0945847653593,-0.007274222267387083
22020,"Fargo, ND-MN Metro Area",228557,0.021862150606322926,0.7740516767454646,0.5250114963314165,0.5282701767821113,-0.3258680450694773,FargoND,2810.3032461926464,2770.053759030927,-0.009636064134357653
22180,"Fayetteville, NC Metro Area",377458,0.00660033692208285,0.8132026520611128,0.594235874532455,0.5282701767821113,6.596569775034366,FayettevilleNC,1043.0588168748272,1694.0048587854785,-0.004115515204730259
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",502064,0.0187417376190261,0.905602117335686,0.355525401672485,0.5282701767821113,-17.274477510962633,FayettevilleAR,3163.059036953067,1114.818957509866,0.01776138252437503
22660,"Fort Collins, CO Metro Area",324657,0.019310405682316508,0.9847417840375589,0.5395521959820113,0.5282701767821113,1.1282019199900017,FortCollinsCO,2596.001790741888,2711.9136109194683,-0.0058846636064085
22900,"Fort Smith, AR-OK Metro Area",279821,-7.671700322839024e-4,0.997003745318352,0.29936884687624243,0.5282701767821113,-22.890132990586885,FortSmithAR,3996.347954507897,832.9401498744105,1.0920225179652343e-4
23060,"Fort Wayne, IN Metro Area",426940,0.0059420799448558406,0.8117705487956295,0.4277101290414893,0.5282701767821113,-10.056004774062199,FortWayneIN,1360.9646299519534,1964.1532565227737,-0.009272342727534168
23420,"Fresno, CA Metro Area",964983,0.008570521146525747,0.306234007908816,0.5098871051701185,0.5282701767821113,-1.8383071611992818,FresnoCA,5957.991468300239,4216.1285483116735,0.0011305489409514165
23540,"Gainesville, FL Metro Area",273495,0.00824807113900191,0,0.5777870804250211,0.5282701767821113,4.951690364290984,GainesvilleFL,1224.6968267806647,2330.5131996847977,0.008196544169562893
24340,"Grand Rapids-Wyoming, MI Metro Area",1028962,0.009770446668064894,0.8929095354523228,0.4428496208553545,0.5282701767821113,-8.542055592675679,GrandRapidsMI,2784.5475137336543,2330.9495535637334,-0.010283627295271916
24540,"Greeley, CO Metro Area",276379,0.020946378825694674,0.960344827586207,0.4451360079050882,0.5282701767821113,-8.313416887702306,GreeleyCO,3987.2380709872014,2212.471035216851,-0.01326838165315472
24580,"Green Bay, WI Metro Area",314498,0.006247568510526049,0.8383977900552486,0.5150294217376696,0.5282701767821113,-1.3240755044441666,GreenBayWI,1870.2141589072999,1869.1093125489406,-0.01441762775061253
24660,"Greensboro-High Point, NC Metro Area",747397,0.0075827648921494495,0.913031550068587,0.5113586172061326,0.5282701767821113,-1.6911559575978674,GreensboroNC,1993.7720402565571,1507.7073208251984,0.0016388883619833233
24860,"Greenville-Anderson-Mauldin, SC Metro Area",862533,0.010885648218502566,0.998010421601137,0.3469167646326657,0.5282701767821113,-18.13534121494456,GreenvilleSC,1995.3302243099197,1264.8345633908757,0.006267512737896436
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",386297,0.009797386477631807,0,0.334799415086887,0.5282701767821113,-19.34707616952243,GulfportMS,1493.2270415924706,1092.3456738698658,-0.021386757337286934
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",259817,0.007256449957526817,0.7351178585697162,0.41869782217607265,0.5282701767821113,-10.957235460603865,HagerstownMD,1007.9946571181025,1299.5587533532735,-0.008722220403263111
25420,"Harrisburg-Carlisle, PA Metro Area",561134,0.004901751721722755,0.823294065347855,0.4696995425916123,0.5282701767821113,-5.857063419049902,HarrisburgPA,1621.9507426289233,2445.9527227249655,-0.0013929536833760352
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1213225,-1.8827008293696682e-4,0.49785807412926053,0.6300908097886629,0.5282701767821113,10.182063300655164,HartfordCT,1514.61185650281,3250.8790834439023,-4.312029936810724e-6
25860,"Hickory-Lenoir-Morganton, NC Metro Area",362223,-0.002043537874204586,0.9202235772357723,0.35508186196651637,0.5282701767821113,-17.318831481559492,HickoryNC,1637.3806430763386,578.6416756977486,-4.987376704423375e-4
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6497864,0.022093986127953862,0.2877846341039457,0.4505889424846672,0.5282701767821113,-7.768123429744412,HoustonTX,8827.487817318073,4109.5991438672545,-0.0035577470847105567
26620,"Huntsville, AL Metro Area",440724,0.012457447519875483,0.6044427615802096,0.39096044036374367,0.5282701767821113,-13.730973641836764,HuntsvilleAL,1361.5294182830191,1182.5379509448194,-0.0014163056782355754
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1971861,0.010254706146189441,0.46410008739248426,0.48721160708846534,0.5282701767821113,-4.105856969364597,IndianapolisIN,3854.458221428053,2285.637878036842,-0.008683591466971822
27140,"Jackson, MS Metro Area",578335,0.004156541288198286,0.378098102250337,0.505814733104714,0.5282701767821113,-2.245544367739727,JacksonMS,3726.1396933113206,1277.9327286869477,-0.011652834526307141
27260,"Jacksonville, FL Metro Area",1421004,0.012984640410021578,0,0.4121859608487893,0.5282701767821113,-11.608421593332203,JacksonvilleFL,3201.0777177345994,2158.7145510327027,-0.009570351010205383
28020,"Kalamazoo-Portage, MI Metro Area",334085,0.0054284017277449375,0.11649726348709928,0.5706856636550428,0.5282701767821113,4.24154868729315,KalamazooMI,1169.1327589162574,1603.743710535566,-0.006819233087103707
28140,"Kansas City, MO-KS Metro Area",2071283,0.007048226585916154,0.7151778707821084,0.5082001125523101,0.5282701767821113,-2.0070064229801177,KansasCityMO,7827.343781129488,2326.1356956445984,-0.007440367515128307
28420,"Kennewick-Richland, WA Metro Area",274469,0.01775920591696284,0.4374040780530586,0.3679909139259843,0.5282701767821113,-16.027926285612697,KennewickWA,2942.5501349813203,2212.400330428673,0.008118794266791188
28660,"Killeen-Temple, TX Metro Area",425143,0.010083192264220008,0.968,0.4061843437649699,0.5282701767821113,-12.208583301714137,KilleenTX,2815.9220278240673,2001.765865732296,-9.535098934481276e-4
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",307723,-0.001507358281945602,0.8715688743389574,0.28515186317963387,0.5282701767821113,-24.311831360247744,KingsportTN,2009.8561780981224,633.4569796526505,0.0010805994304508466
28940,"Knoxville, TN Metro Area",857067,0.005395784725423894,0.9728858394643299,0.3337413065961504,0.5282701767821113,-19.452887018596087,KnoxvilleTN,1856.8479741991082,1343.2519938123005,0.004642562826584521
29180,"Lafayette, LA Metro Area",485411,0.00933926563239974,0,0.32655368728060463,0.5282701767821113,-20.17164895015067,LafayetteLA,1006.3671665660227,1524.5345766784296,0.006056014054835747
29460,"Lakeland-Winter Haven, FL Metro Area",635264,0.012951276629648305,5.935598753524262e-4,0.4673214104433928,0.5282701767821113,-6.0948766338718485,LakelandFL,1797.836831290338,1462.8030768793958,4.681105957191539e-4
