GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,310M200US17140,17140,"United States - In metropolitan statistical area - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2117863,2123412,2129877,2137868,2148450,2157719
0100000US,,United States,310M200US17300,17300,"United States - In metropolitan statistical area - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260610,261691,264464,275353,273211,277894,281021
0100000US,,United States,310M200US17420,17420,"United States - In metropolitan statistical area - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115788,115963,116738,117817,118557,119769,120864
0100000US,,United States,310M200US17460,17460,"United States - In metropolitan statistical area - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077246,2075661,2068349,2064321,2064854,2064079,2060810
0100000US,,United States,310M200US17660,17660,"United States - In metropolitan statistical area - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138494,138910,141056,142292,144289,147245,150346
0100000US,,United States,310M200US17780,17780,"United States - In metropolitan statistical area - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228660,229473,231418,234108,237880,242919,249156
0100000US,,United States,310M200US17820,17820,"United States - In metropolitan statistical area - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645611,650366,660276,669051,678384,686252,697856
0100000US,,United States,310M200US17860,17860,"United States - In metropolitan statistical area - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162642,163200,166000,168730,171126,173019,174974
0100000US,,United States,310M200US17900,17900,"United States - In metropolitan statistical area - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769692,776718,784044,791820,800011,810068
0100000US,,United States,310M200US17980,17980,"United States - In metropolitan statistical area - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295531,296500,302636,311905,317443,314342,313749
0100000US,,United States,310M200US18020,18020,"United States - In metropolitan statistical area - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76846,77630,78924,79505,80220,81162
0100000US,,United States,310M200US18140,18140,"United States - In metropolitan statistical area - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902015,1906439,1925973,1946452,1970511,1997308,2021632
0100000US,,United States,310M200US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,427997,431018,436958,443362,448351,452422
0100000US,,United States,310M200US18700,18700,"United States - In metropolitan statistical area - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85581,85565,86025,86441,86024,86414,87572
0100000US,,United States,310M200US18880,18880,"United States - In metropolitan statistical area - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236005,238850,247506,252883,257209,262172
0100000US,,United States,310M200US19060,19060,"United States - In metropolitan statistical area - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103299,103253,102667,101900,101365,100611,99979
0100000US,,United States,310M200US19100,19100,"United States - In metropolitan statistical area - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426214,6452614,6574298,6709559,6822353,6958092,7102796
0100000US,,United States,310M200US19140,19140,"United States - In metropolitan statistical area - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142317,142531,142616,142384,142971,143781
0100000US,,United States,310M200US19180,19180,"United States - In metropolitan statistical area - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81613,81386,80804,80530,79837,79282
0100000US,,United States,310M200US19300,19300,"United States - In metropolitan statistical area - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183193,186659,190396,195126,199713,203709
0100000US,,United States,310M200US19340,19340,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380236,381147,382890,384089,383995,383606
0100000US,,United States,310M200US19380,19380,"United States - In metropolitan statistical area - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799216,800303,801389,802296,801622,801145,800909
0100000US,,United States,310M200US19460,19460,"United States - In metropolitan statistical area - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153908,153990,153888,153221,153082,152680
0100000US,,United States,310M200US19500,19500,"United States - In metropolitan statistical area - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110780,110630,110103,109550,108381,107303
0100000US,,United States,310M200US19660,19660,"United States - In metropolitan statistical area - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,590688,591838,595703,601402,610290,623279
0100000US,,United States,310M200US19740,19740,"United States - In metropolitan statistical area - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543600,2554468,2601104,2648482,2700086,2755856,2814330
0100000US,,United States,310M200US19780,19780,"United States - In metropolitan statistical area - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571981,580949,589670,600263,612156,622899
0100000US,,United States,310M200US19820,19820,"United States - In metropolitan statistical area - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291288,4287427,4294049,4297081,4301480,4302043
